game_id,game_name,platform_id,genre_id,release_date,store_id,play_status,game_length,franchise_id,rating
205,Total War: Troy,1,25,8/13/2020,3,1,,73,
206,Total War: Warhammer,1,25,5/24/2016,3,1,40,73,
207,Total War: Warhammer II,1,25,9/28/2017,3,1,50,73,
208,Trine,1,15,11/9/2009,8,2,10,74,70
209,Trine 2: Complete Story,1,15,12/7/2011,4,6,10,74,50
210,Two Point Hospital,1,11,8/30/2018,4,1,,75,
211,Tyranny: Gold Edition,1,27,9/10/2015,3,1,30,,
212,Uncharted: The Nathan Drake Collection,4,2,10/9/2015,,1,10,76,
213,"Warhammer 40,000: Dawn of War",1,18,9/23/2004,4,1,,77,
214,"Warhammer 40,000: Gladius Relics of War",1,18,7/31/2018,3,1,10,77,
215,Wasteland 2: Director's Cut,1,27,9/18/2014,4,1,75,78,
216,Watch Dogs,1,2,5/27/2014,3,1,30,79,
217,Watch Dogs 2,1,2,11/15/2016,3,1,40,79,
218,Wolfenstein: The New Order,1,6,5/19/2014,3,1,20,80,
219,X-Com 2,1,25,2/5/2016,3,1,40,81,
220,X-Com: Enemy Unknown,1,25,10/9/2012,8,1,50,81,
221,Xenoblade Chronicles: Definitive Edition,3,10,5/29/2020,,1,75,82,
222,Ys Origin,3,10,8/25/2006,,1,15,83,
223,Graveyard Keeper: Undead Edition,3,11,6/27/2019,,1,,,
224,Sea of Stars,3,10,8/29/2023,,1,35,,
